epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,2535.6,0.584,0.36084,1.17043,0.99448,1,0.995,0.82665,0.75423,0.40703,1.33592,0.0006536,0.0006536,0.0006536
104,2558.04,0.59169,0.37206,1.17489,0.99628,1,0.995,0.77197,0.89181,0.40916,1.55342,0.0006404,0.0006404,0.0006404
105,2580.42,0.59602,0.35847,1.15959,0.99968,1,0.995,0.79739,0.81735,0.39901,1.33667,0.0006272,0.0006272,0.0006272
106,2602.85,0.57629,0.57539,1.13986,0.99944,1,0.995,0.85922,0.63834,0.33921,1.15429,0.000614,0.000614,0.000614
107,2625.33,0.59921,0.36587,1.16019,0.99748,1,0.995,0.79564,0.80814,0.38549,1.43408,0.0006008,0.0006008,0.0006008
108,2647.73,0.57612,0.35651,1.15121,0.99971,1,0.995,0.81297,0.75036,0.35868,1.29363,0.0005876,0.0005876,0.0005876
109,2670.13,0.63721,0.39486,1.22442,0.99965,1,0.995,0.8061,0.77699,0.36706,1.2853,0.0005744,0.0005744,0.0005744
110,2692.55,0.57143,0.35847,1.15524,0.99939,1,0.995,0.82324,0.73803,0.36279,1.26312,0.0005612,0.0005612,0.0005612
111,2714.93,0.56812,0.35224,1.1407,0.99955,1,0.995,0.8299,0.75353,0.35474,1.34617,0.000548,0.000548,0.000548
112,2737.32,0.58998,0.35674,1.16523,0.99955,1,0.995,0.77477,0.85018,0.39593,1.46796,0.0005348,0.0005348,0.0005348
113,2759.72,0.60221,0.39837,1.181,0.98777,1,0.99489,0.81463,0.802,0.39821,1.35366,0.0005216,0.0005216,0.0005216
114,2782.14,0.60461,0.36003,1.16588,0.99963,1,0.995,0.81805,0.74094,0.36162,1.26561,0.0005084,0.0005084,0.0005084
115,2804.55,0.567,0.35473,1.15111,0.99958,1,0.995,0.82814,0.7007,0.35454,1.23484,0.0004952,0.0004952,0.0004952
116,2826.94,0.57955,0.35239,1.14466,0.99959,1,0.995,0.79281,0.78215,0.35446,1.39084,0.000482,0.000482,0.000482
117,2849.35,0.57983,0.3419,1.14935,0.9989,1,0.995,0.82912,0.69582,0.34379,1.21656,0.0004688,0.0004688,0.0004688
118,2871.77,0.57321,0.34879,1.1729,0.99959,1,0.995,0.80872,0.78592,0.38971,1.3188,0.0004556,0.0004556,0.0004556
119,2894.15,0.55906,0.35393,1.14083,0.99968,1,0.995,0.8195,0.82868,0.36641,1.3717,0.0004424,0.0004424,0.0004424
120,2916.55,0.5805,0.35385,1.17028,0.99966,1,0.995,0.79699,0.84241,0.37766,1.44604,0.0004292,0.0004292,0.0004292
121,2938.96,0.55991,0.33141,1.14193,0.99968,1,0.995,0.80464,0.8293,0.36629,1.38385,0.000416,0.000416,0.000416
122,2961.35,0.57229,0.37776,1.12732,0.99968,1,0.995,0.85243,0.66538,0.3315,1.18049,0.0004028,0.0004028,0.0004028
123,2983.72,0.56443,0.33692,1.14229,0.99958,1,0.995,0.83552,0.68654,0.34563,1.24571,0.0003896,0.0003896,0.0003896
124,3006.09,0.55781,0.34055,1.1478,0.99847,1,0.995,0.79007,0.78461,0.38749,1.38101,0.0003764,0.0003764,0.0003764
125,3028.47,0.5805,0.4561,1.17597,0.99957,1,0.995,0.82627,0.72128,0.35617,1.2168,0.0003632,0.0003632,0.0003632
126,3050.88,0.54617,0.33912,1.1389,0.99463,1,0.995,0.85124,0.65563,0.34153,1.19653,0.00035,0.00035,0.00035
127,3073.22,0.54452,0.32937,1.12429,0.999,1,0.995,0.85728,0.65544,0.32466,1.22096,0.0003368,0.0003368,0.0003368
128,3095.57,0.56161,0.33697,1.12438,0.99951,1,0.995,0.86258,0.67168,0.32978,1.21322,0.0003236,0.0003236,0.0003236
129,3118.06,0.56164,0.33449,1.15833,0.99964,1,0.995,0.84449,0.69843,0.34527,1.24555,0.0003104,0.0003104,0.0003104
130,3140.43,0.52734,0.32888,1.12269,0.99923,1,0.995,0.85767,0.66367,0.33688,1.21277,0.0002972,0.0002972,0.0002972
131,3162.77,0.53951,0.33373,1.12483,0.99905,1,0.995,0.8392,0.72206,0.34997,1.26734,0.000284,0.000284,0.000284
132,3185.12,0.53469,0.32899,1.11716,0.99916,1,0.995,0.81912,0.7464,0.36506,1.29368,0.0002708,0.0002708,0.0002708
133,3207.5,0.54622,0.33203,1.14146,0.99947,1,0.995,0.82257,0.78662,0.34915,1.34663,0.0002576,0.0002576,0.0002576
134,3229.89,0.53595,0.32546,1.11178,0.99902,1,0.995,0.82932,0.7311,0.35605,1.31208,0.0002444,0.0002444,0.0002444
135,3252.21,0.54798,0.32252,1.13947,0.99958,1,0.995,0.79928,0.80464,0.35876,1.39078,0.0002312,0.0002312,0.0002312
136,3274.54,0.56106,0.33697,1.14421,0.99915,1,0.995,0.82942,0.73673,0.35171,1.29527,0.000218,0.000218,0.000218
137,3296.94,0.565,0.33597,1.14482,0.99919,1,0.995,0.81682,0.75559,0.36298,1.33888,0.0002048,0.0002048,0.0002048
138,3319.31,0.53335,0.31651,1.10903,0.99325,1,0.995,0.80622,0.78478,0.37658,1.37621,0.0001916,0.0001916,0.0001916
139,3341.62,0.56203,0.3184,1.15762,0.99818,1,0.995,0.84469,0.68368,0.34051,1.2367,0.0001784,0.0001784,0.0001784
140,3364,0.56737,0.47194,1.17644,0.99713,1,0.995,0.8314,0.70742,0.33942,1.27949,0.0001652,0.0001652,0.0001652
141,3386.91,0.46614,0.25301,1.0641,0.99863,1,0.995,0.79287,0.76786,0.36465,1.36371,0.000152,0.000152,0.000152
142,3409.21,0.45917,0.24752,1.04799,0.99657,1,0.995,0.8054,0.74604,0.36559,1.3117,0.0001388,0.0001388,0.0001388
143,3431.5,0.45233,0.24769,1.04339,0.99676,1,0.995,0.82802,0.71147,0.3505,1.26289,0.0001256,0.0001256,0.0001256
144,3453.81,0.45681,0.24719,1.04204,0.99682,1,0.995,0.83857,0.68416,0.33522,1.24331,0.0001124,0.0001124,0.0001124
145,3476.12,0.44874,0.242,1.03995,0.99851,1,0.995,0.83005,0.71072,0.33489,1.25811,9.92e-05,9.92e-05,9.92e-05
146,3498.43,0.4497,0.24509,1.04668,0.99835,1,0.995,0.82769,0.72353,0.34337,1.2701,8.6e-05,8.6e-05,8.6e-05
147,3520.7,0.44304,0.23652,1.03544,0.99822,1,0.995,0.81259,0.74813,0.35232,1.30608,7.28e-05,7.28e-05,7.28e-05
148,3542.95,0.44722,0.2739,1.02795,0.9984,1,0.995,0.82485,0.73511,0.34489,1.28329,5.96e-05,5.96e-05,5.96e-05
149,3565.24,0.43824,0.23783,1.03922,0.99851,1,0.995,0.82017,0.75587,0.3498,1.31089,4.64e-05,4.64e-05,4.64e-05
150,3587.59,0.44879,0.23635,1.05147,0.99874,1,0.995,0.82578,0.73087,0.33909,1.27896,3.32e-05,3.32e-05,3.32e-05
